Designator,Mid X,Mid Y,Rotation,Layer
C1,48.819659,-64.305002,90.0,top
C10,46.058302,-56.420002,0.0,top
C2,43.479659,-61.395002,0.0,top
C3,49.875534,-58.866252,90.0,top
C4,42.439658,-66.670002,0.0,top
C5,42.439658,-68.280001,0.0,top
C9,48.775534,-55.725893,270.0,top
CN1,36.865534,-60.395002,270.0,top
D1,46.849659,-69.450002,90.0,top
D2,44.469659,-64.050002,0.0,top
D3,39.739659,-78.440003,90.0,top
L1,46.869659,-61.345002,180.0,top
Q1,34.570533,-54.000001,0.0,top
R1,41.689659,-70.565001,90.0,top
R10,49.105534,-45.380002,315.0,top
R11,47.475534,-59.660002,0.0,top
R12,47.475534,-58.072502,180.0,top
R13,41.419659,-44.546639,0.0,top
R2,43.239659,-70.560001,270.0,top
R3,40.019659,-73.210002,270.0,top
R4,38.389659,-73.240003,90.0,top
R6,33.899659,-45.130002,225.0,top
R7,42.005532,-56.420002,180.0,top
R8,38.220534,-54.000002,0.0,top
R9,49.105534,-51.560002,45.0,top
SW1,37.094659,-48.470002,0.0,top
SW2,45.744659,-48.470002,0.0,top
TP1,35.344659,-26.790002,0.0,bottom
TP2,47.494659,-26.790002,0.0,bottom
TP3,43.444659,-26.790002,0.0,bottom
TP4,39.394659,-26.790002,0.0,bottom
U1,41.419659,-33.395002,0.0,top
U2,42.589659,-73.770001,0.0,top
U3,43.039659,-76.540002,90.0,top
U4,41.680532,-54.000001,90.0,top
U5,46.053802,-54.000893,90.0,top
U6,43.915534,-59.022502,270.0,top
U7,36.429658,-68.280002,180.0,top
USB1,47.549659,-78.940002,90.0,top
USB2,34.89216,-78.440002,270.0,top
